	Force Plate 1												Force Plate 2
Sample #	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z
73	269.988406	275.681621	0.000000	254.000000	232.000000	0.000000	-3.418800	1.598400	715.195810	31240.912464	-11434.840972	427.190434	0	0	0	765.000000	232.000000	0.000000	0.270720	-0.022420	3.097400	-39.595674	-324.548839	-247.300600
74	270.416176	276.410799	0.000000	254.000000	232.000000	0.000000	-3.485400	1.598400	715.195810	31762.417479	-11740.780305	489.432092	0	0	0	765.000000	232.000000	0.000000	0.338400	-0.313880	3.461800	-32.287759	-195.917218	-285.260958
75	270.311919	276.856547	0.000000	254.000000	232.000000	0.000000	-4.218000	1.087800	714.931510	32069.358647	-11661.905104	471.821144	0	0	0	765.000000	232.000000	0.000000	0.248160	0.291460	2.641900	-36.615545	-135.014614	-279.207927
76	270.827596	277.461418	0.000000	254.000000	232.000000	0.000000	-3.973800	0.710400	714.843410	32497.794807	-12029.096345	391.798598	0	0	0	765.000000	232.000000	0.000000	0.180480	-0.022420	3.188500	-152.219633	-180.059034	-317.246833
77	270.651257	277.824566	0.000000	254.000000	232.000000	0.000000	-4.062600	0.355200	715.812510	32801.797499	-11919.178011	298.497550	0	0	0	765.000000	232.000000	0.000000	0.564000	-0.179360	2.641900	113.987589	-250.745623	-252.749285
78	271.002037	278.412928	0.000000	254.000000	232.000000	0.000000	-3.618600	0.621600	718.015010	33325.178758	-12207.717931	347.293540	0	0	0	765.000000	232.000000	0.000000	0.518880	0.089680	4.646100	-120.282673	-411.250127	-300.851317
79	271.112864	278.511561	0.000000	254.000000	232.000000	0.000000	-4.062600	0.377400	719.600810	33469.756996	-12314.430660	134.030768	0	0	0	765.000000	232.000000	0.000000	0.225600	-0.269040	3.279600	25.817925	-247.761127	-209.962702
80	271.291088	279.012802	0.000000	254.000000	232.000000	0.000000	-3.174600	0.466200	717.134010	33714.478915	-12400.027528	62.748261	0	0	0	765.000000	232.000000	0.000000	0.496320	-0.201780	3.279600	-37.247435	-230.053501	-376.491108
81	271.278550	279.003974	0.000000	254.000000	232.000000	0.000000	-3.307800	0.355200	715.107710	33612.904182	-12356.024677	-35.009552	0	0	0	765.000000	232.000000	0.000000	0.631680	0.201780	1.184300	-39.534827	-261.069802	-263.031683
82	271.534762	279.518407	0.000000	254.000000	232.000000	0.000000	-2.974800	0.910200	708.235910	33654.242257	-12418.748306	-52.892228	0	0	0	765.000000	232.000000	0.000000	0.360960	-0.224200	4.372800	-47.922288	-160.236934	-274.391455
83	271.158418	279.339510	0.000000	254.000000	232.000000	0.000000	-2.908200	0.799200	704.271410	33339.863333	-12084.183032	-48.450003	0	0	0	765.000000	232.000000	0.000000	0.270720	0.179360	2.368600	15.431951	-304.881555	-182.530312
84	271.146058	280.070270	0.000000	254.000000	232.000000	0.000000	-2.686200	1.087800	700.835510	33689.351892	-12016.566558	9.273061	0	0	0	765.000000	232.000000	0.000000	0.270720	-0.538080	4.919400	-69.702381	-204.405439	-231.772069
85	270.579022	279.963931	0.000000	254.000000	232.000000	0.000000	-3.396600	1.087800	699.161610	33534.538955	-11591.415939	31.622382	0	0	0	765.000000	232.000000	0.000000	0.225600	-0.044840	2.004200	100.691816	-274.483684	-215.077515
86	270.371004	280.669743	0.000000	254.000000	232.000000	0.000000	-3.219000	1.043400	697.311510	33937.972148	-11415.689845	40.484855	0	0	0	765.000000	232.000000	0.000000	0.654240	-0.022420	3.370700	-58.465967	-226.885562	-268.663761
87	269.892915	280.638262	0.000000	254.000000	232.000000	0.000000	-3.885000	0.732600	695.901910	33847.459108	-11059.910036	76.186270	0	0	0	765.000000	232.000000	0.000000	0.473760	0.224200	3.279600	-20.708335	-229.177586	-155.510342
88	270.082565	281.446376	0.000000	254.000000	232.000000	0.000000	-2.886000	0.710400	692.113610	34222.509640	-11130.962351	76.013221	0	0	0	765.000000	232.000000	0.000000	0.180480	-0.022420	3.826200	-11.729792	-143.182255	-177.424033
89	270.216948	281.499321	0.000000	254.000000	232.000000	0.000000	-4.440000	0.155400	690.704010	34189.379820	-11201.111134	-8.125432	0	0	0	765.000000	232.000000	0.000000	0.203040	0.179360	3.097400	99.592231	-237.265291	-279.356837
